,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,year,Title,Price,links,Make,Model
94, 1NCL21EX9C127379, excellent, 4 cylinders, fwd, gas,137312, grey, mid-size, clean, automatic, sedan,2009,2009 Nissan Altima Hybrid Cold A/C Perfect Runner 4/19Tags CLEAN TITLE,4400 ,https://losangeles.craigslist.org/wst/cto/d/2009-nissan-altima-hybrid/6676549356.html,Nissan,Altima
95,, like new, 6 cylinders, fwd, gas,87826, black, mid-size, clean, automatic,,2012,2012  NISSAN ALTIMA,7600 ,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima/6678114464.html,Nissan,Altima
96,, excellent, 4 cylinders, fwd, gas,36845, grey, mid-size, clean, automatic, sedan,2017,2017 NISSAN ALTIMA SV/CLEAN TITLE/36K MILES,15200 ,https://losangeles.craigslist.org/lgb/cto/d/2017-nissan-altima-sv-clean/6701274271.html,Nissan,Altima
97,, good, 4 cylinders, rwd, gas,87, black, compact, clean, automatic, sedan,2012,2012 NISSAN ALTIMA,6600 ,https://losangeles.craigslist.org/lgb/cto/d/2012-nissan-altima/6701045806.html,Nissan,Altima
98,, like new, 4 cylinders, fwd, gas,100, custom, mid-size, salvage, automatic, sedan,2010,Nissan altima 2010,4500 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-2010/6700636705.html,Nissan,Altima
99, 1N4AL2AP4AN479133, good, 4 cylinders, fwd, gas,144000, blue, full-size, clean, automatic, sedan,2010,2010 Nissan Altima,4600 ,https://losangeles.craigslist.org/lgb/cto/d/2010-nissan-altima/6700523532.html,Nissan,Altima
100, Xxxxxxxxxxxx, excellent, 4 cylinders, fwd, gas,119000, red, mid-size, clean, automatic, sedan,2012,2012 NISSAN ALTIMA  2.5S,6500 ,https://losangeles.craigslist.org/ant/cto/d/2012-nissan-altima-25s/6676568145.html,Nissan,Altima
101,, good, 4 cylinders, fwd, gas,101520, silver, full-size, clean, automatic, sedan,2009,2009 Nissan Altima 2.5 SL leather sunroof heated seats fully loaded,5200 ,https://losangeles.craigslist.org/sfv/cto/d/2009-nissan-altima-25-sl/6700158315.html,Nissan,Altima
102,, excellent, 4 cylinders, fwd, gas,79500, white, mid-size, clean, automatic, sedan,2014,2014Nissan Altima,12000 ,https://losangeles.craigslist.org/sfv/cto/d/2014nissan-altima/6694638951.html,Nissan,Altima
103,, good, 4 cylinders, rwd, gas,87, black, compact, clean, automatic, sedan,2012,2012 NISSAN ALTIMA,6500 ,https://losangeles.craigslist.org/lgb/cto/d/2012-nissan-altima/6699680347.html,Nissan,Altima
104, 1n4al3ap8ec181577, excellent, 4 cylinders, fwd, gas,64998, black, full-size, salvage, automatic, sedan,2014,2014 nissan altima salvaged,7200 ,https://losangeles.craigslist.org/sfv/cto/d/2014-nissan-altima-salvaged/6699630671.html,Nissan,Altima
105,, like new, 4 cylinders,, gas,90, grey,, clean, automatic, coupe,2010,LIKE NEW NISSAN ALTIMA COUPE,7499 ,https://losangeles.craigslist.org/lgb/cto/d/like-new-nissan-altima-coupe/6699624861.html,Nissan,Altima
106,, excellent, 4 cylinders, fwd, gas,60765, grey,, clean, automatic,,2011,"2011 Nissan Altima 2.5s, 1 owner, full service records, 60k miles",7600 ,https://losangeles.craigslist.org/sfv/cto/d/2011-nissan-altima-25s-1/6699036947.html,Nissan,Altima
107,, excellent, 4 cylinders, fwd, gas,103000, blue, full-size, salvage, automatic, sedan,2010,2010 Nissan Altima,5000 ,https://losangeles.craigslist.org/sfv/cto/d/2010-nissan-altima/6698920039.html,Nissan,Altima
108,, excellent, 4 cylinders,, gas,91300, black,, clean, automatic,,2013,*Great Deal* 2013 Nissan Altima SV,8900 ,https://losangeles.craigslist.org/wst/cto/d/great-deal-2013-nissan-altima/6694700731.html,Nissan,Altima
109,, good, 4 cylinders, fwd, gas,134000, white, full-size, clean, automatic, pickup,2009,09 Nissan Altima,5000 ,https://losangeles.craigslist.org/sfv/cto/d/09-nissan-altima/6698319269.html,Nissan,Altima
110,, good, 4 cylinders, rwd, gas,75054, grey, mid-size, clean, automatic, sedan,2015,2015 Nissan Altima 2.5,9900 ,https://losangeles.craigslist.org/lgb/cto/d/2015-nissan-altima-25/6698304977.html,Nissan,Altima
111,, good, 4 cylinders, fwd, gas,123000, red, full-size, salvage, automatic,,2014,2014 Nissan Altima,6000 ,https://losangeles.craigslist.org/sfv/cto/d/2014-nissan-altima/6698118064.html,Nissan,Altima
112,, new, 4 cylinders, fwd, gas,20000, black, mid-size, clean, automatic, sedan,2016,"2016 NISSAN ALTIMA SR, BLACK/BLACK INT 4 CILINDERS",16400 ,https://losangeles.craigslist.org/sfv/cto/d/2016-nissan-altima-sr-black/6680802511.html,Nissan,Altima
